",""Fresh MAT"",""ZSA M2/GM"",""MSA M2/GM"",""Zeolite(Wt%)"",""Alumina(Wt%)"",""ZRE(Wt%)"",""Sodium(ppm)"",""Iron(ppm)"",""Total mass flow (kg/h)"",""H2S mass flow (kg/h)"",""Coke mass flow (kg/h)"",""Fuel gas mass flow (kg/h)"",""Nafta mass flow (kg/h)"",""LCO mass flow (kg/h)"",""Coke on Regen Catalyst (%)"",""Coke on Spent Catalyst (%)"""
"Access 907,""79.13"",""107.6"",""147.5"",""18.217218"",""39.7"",""12.570525"",""2000"",""3000"",""182674.56900147"",""2311.6213858119"",""10886.429982997"",""7765.9503402823"",""94744.391210132"",""21355.962078782"",""0.066539223115301"",""0.62171524197018"""
"Action 509,""74.815"",""132.9"",""182.7"",""21.459713"",""37"",""1.77076"",""1600"",""2700"",""182674.56900147"",""2322.985465151"",""10901.348900481"",""9464.4459612433"",""82739.512881735"",""21727.761637412"",""0.059121002608579"",""0.64706562279828"""
"Advance 807,""74.395"",""160.2"",""77.8"",""26.74904"",""28.54"",""6.504906"",""2400"",""3200"",""182674.56900147"",""2331.1127914717"",""10876.218895493"",""7930.1302016031"",""91238.595747763"",""21049.586694789"",""0.072153210900307"",""0.60585025681269"""
"Advance 909,""78.88"",""126.5"",""114.6"",""21.287337"",""31.2"",""9.630138"",""1600"",""2800"",""182674.56900147"",""2311.2558321565"",""10886.181610646"",""8062.3208755711"",""93065.785890262"",""21350.052920259"",""0.066189490088307"",""0.62268920703606"""
"A/F-3,""76.05"",""166.8"",""174.8"",""26.694407"",""37.2"",""0.037461"",""1600"",""2400"",""182674.56900147"",""2319.7876867509"",""10909.442440622"",""9876.3216190676"",""81589.215453358"",""21959.525019737"",""0.055635768568796"",""0.66065223282194"""
"Cobra 52,""74.445"",""207.2"",""87.8"",""34.15197"",""30.1"",""3.572268"",""2400"",""2900"",""182674.56900147"",""2360.8323686785"",""10843.538023192"",""7840.1584966377"",""90683.228471409"",""20029.406941921"",""0.095301657287772"",""0.55713186448812"""
"Cobra 65,""78.22"",""147"",""173.2"",""24.368007"",""39.5"",""5.950425"",""2000"",""2900"",""182674.56900147"",""2329.5467279446"",""10870.365132425"",""7945.2297720538"",""93685.903207202"",""20925.85390654"",""0.074671091210283"",""0.59897153423589"""
"Conquest 65,""80.17"",""138.7"",""124.1"",""23.118593"",""45.4"",""7.223623"",""1500"",""3600"",""182674.56900147"",""2329.3723617587"",""10876.613097823"",""7890.5349219993"",""93000.586482471"",""21160.325620849"",""0.70492364045384"",""0.61012730782984"""
"Conquest 94,""80.47"",""177.9"",""106.9"",""30.888098"",""35"",""10.586602"",""3400"",""2700"",""182674.56900147"",""2323.7158083474"",""10870.573656053"",""8568.9832482421"",""90689.734336814"",""21003.416973195"",""0.072265265482389"",""0.60476971987032"""
"Conquest 95,""80.8"",""141.7"",""183.3"",""24.386886"",""39.69"",""12.014654"",""2100"",""2500"",""182674.56900147"",""2305.6226451471"",""10897.934394493"",""7639.9369980326"",""94830.435140046"",""21673.633011504"",""0.061429939712925"",""0.63861809606882"""
"Dimension 50R,""73.3"",""189.2"",""77.9"",""31.347859"",""35"",""4.561715"",""1800"",""3900"",""182674.56900147"",""2334.3517383094"",""10866.744032841"",""7886.3815617301"",""92527.530098241"",""20625.857597526"",""0.080625570968284"",""0.58551365741001"""
"Dimension IIR,""75.265"",""219.7"",""113.6"",""35.535786"",""30.1"",""1.266329"",""1900"",""2800"",""182674.56900147"",""2332.8643625645"",""10866.710824011"",""8014.6740853237"",""89982.013367846"",""20846.03762873"",""0.07533958921936"",""0.59691970391789"""
"Dimension RS,""73.835"",""212.9"",""93"",""35.082805"",""31.2"",""3.448983"",""2000"",""2900"",""182674.56900147"",""2324.8139490441"",""10870.959278364"",""7438.4457718938"",""91977.537990367"",""20926.162101991"",""0.073824723430051"",""0.60089515690809"""
