State;BED1IN - Temperature (C);BED1IN - Pressure (kPa);HBED100 - Sulfur (0.000000 m) (%);HBED100 - Nitrogen (0.000000 m) (ppmwt);HBED101 - Sulfur (2.893719 m) (%);HBED101 - Nitrogen (2.893719 m) (ppmwt);HBED101 - Temperature (2.893719 m) (C);FCC-100 - Yield, Std Cut Grouped (Fuel Gas-Volume) (%);FCC-100 - Yield, Std Cut Grouped (Naphtha C5-430F-Volume) (%);FCC-100 - Yield, Std Cut Grouped (LCO 430-650F-Volume) (%);FCC-100 - Yield, Std Cut Grouped (Bottoms 650F+-Volume) (%);FCC-100 - Yield, Std Cut Grouped (Conversion-Volume) (%)
Case 1;350;7000;2.31;728.1;1.2;660.9;348.5;6.2;55.56;7.793;3.104;89.1
Case 2;350;8400;2.31;728.1;1;635.2;351.8;6.27;55.54;7.604;2.976;89.42
Case 3;350;9800;2.31;728.1;0.83;607.2;355;6.311;55.65;7.381;2.856;89.76
Case 4;350;1.12E+04;2.31;728.1;0.68;578.5;358;6.332;55.89;7.082;2.723;90.2
Case 5;350;1.26E+04;2.31;728.1;0.57;550.3;360.9;6.335;56.15;6.833;2.621;90.55
Case 6;350;1.40E+04;2.31;728.1;0.5;527.6;363.1;6.327;56.37;6.655;2.555;90.79
Case 7;360;7000;2.31;728.1;1.09;624.5;359.6;6.229;55.61;7.661;3.027;89.31
Case 8;360;8400;2.31;728.1;0.89;587.6;363.2;6.277;55.74;7.396;2.884;89.72
Case 9;360;9800;2.31;728.1;0.72;549.4;366.7;6.296;56.04;7.045;2.729;90.23
Case 10;360;1.12E+04;2.31;728.1;0.59;512.2;369.9;6.293;56.38;6.745;2.61;90.65
Case 11;360;1.26E+04;2.31;728.1;0.48;477.3;373.1;6.28;56.73;6.46;2.504;91.04
Case 12;360;1.40E+04;2.31;728.1;0.42;450.2;375.4;6.262;56.99;6.267;2.437;91.3
Case 13;370;7000;2.31;728.1;0.99;574.3;370.8;6.235;55.81;7.46;2.938;89.6
Case 14;370;8400;2.31;728.1;0.79;524.2;374.7;6.257;56.16;7.053;2.756;90.19
Case 15;370;9800;2.31;728.1;0.63;476.1;378.4;6.248;56.58;6.693;2.615;90.69
Case 16;370;1.12E+04;2.31;728.1;0.5;431.4;381.9;6.227;57.01;6.355;2.491;91.15
Case 17;370;1.26E+04;2.31;728.1;0.4;391;385.4;6.201;57.41;6.057;2.386;91.56
Case 18;370;1.40E+04;2.31;728.1;0.35;360.6;387.8;6.177;57.7;5.862;2.32;91.82
Case 19;380;7000;2.31;728.1;0.89;508.5;381.9;6.214;56.22;7.129;2.814;90.06
Case 20;380;8400;2.31;728.1;0.7;445.7;386;6.203;56.73;6.697;2.643;90.66
Case 21;380;9800;2.31;728.1;0.54;388.6;390;6.173;57.26;6.294;2.496;91.21
Case 22;380;1.12E+04;2.31;728.1;0.43;338.6;393.9;6.138;57.74;5.946;2.374;91.68
Case 23;380;1.26E+04;2.31;728.1;0.34;295.5;397.6;6.105;58.16;5.656;2.273;92.07
Case 24;380;1.40E+04;2.31;728.1;0.29;263.6;400.1;6.078;58.44;5.473;2.212;92.32
Case 25;390;7000;2.31;728.1;0.8;427.5;392.9;6.161;56.77;6.788;2.704;90.51
Case 26;390;8400;2.31;728.1;0.61;354.5;397.3;6.122;57.42;6.304;2.527;91.17
Case 27;390;9800;2.31;728.1;0.47;292.4;401.6;6.077;58.01;5.892;2.383;91.73
Case 28;390;1.12E+04;2.31;728.1;0.36;240.7;405.7;6.036;58.5;5.559;2.266;92.17
Case 29;390;1.26E+04;2.31;728.1;0.28;197.8;409.7;6.001;58.89;5.29;2.172;92.54
Case 30;390;1.40E+04;2.31;728.1;0.23;168.1;412.2;5.975;59.14;5.131;2.118;92.75
Case 31;400;7000;2.31;728.1;0.71;334.9;403.6;6.08;57.46;6.41;2.594;91
Case 32;400;8400;2.31;728.1;0.53;257.1;408.2;6.023;58.18;5.914;2.419;91.67
Case 33;400;9800;2.31;728.1;0.4;195.7;412.8;5.973;58.76;5.526;2.283;92.19
Case 34;400;1.12E+04;2.31;728.1;0.3;147.9;417.1;5.934;59.2;5.228;2.176;92.6
Case 35;400;1.26E+04;2.31;728.1;0.23;110.8;421.2;5.905;59.53;4.998;2.092;92.91
Case 36;400;1.40E+04;2.31;728.1;0.19;86.98;423.6;5.884;59.73;4.87;2.047;93.08
