"State,""FCC-100 - Weight % Zeolite (A/F-3)"",""FCC-100 - Weight % Alumina (A/F-3)"",""FCC-100 - Weight % Rare Earth (A/F-3)"",""FCC-100 - Yield, Std Cut Detailed (H2S-Mass Flow)"",""FCC-100 - Yield, Std Cut Detailed (Coke-Mass Flow)"",""FCC-100 - Yield, Std Cut Grouped (Fuel Gas-Mass Flow)"",""FCC-100 - Yield, Std Cut Grouped (Naphtha C5-430F-Mass Flow)"",""FCC-100 - Yield, Std Cut Grouped (LCO 430-650F-Mass Flow)"",""FCC-100 - Regen Coke on Regen Catalyst (Regenerator)"",""FCC-100 - Regen Coke on Spent Cat (Regenerator)"""
","""","""","""",""kg/h"",""kg/h"",""kg/h"",""kg/h"",""kg/h"",""%"",""%"""
Case 4,18,25,4.033,2624,1.082e+004,9515,8.285e+004,2.152e+004,0.05117,0.6763
Case 5,18,25,5.361,2624,1.082e+004,9347,8.389e+004,2.152e+004,0.05145,0.675
Case 6,18,25,6.689,2623,1.082e+004,9182,8.491e+004,2.154e+004,0.05143,0.6751
Case 7,18,25,8.017,2623,1.082e+004,9019,8.592e+004,2.157e+004,0.05134,0.6755
Case 8,18,25,9.344,2622,1.082e+004,8856,8.693e+004,2.16e+004,0.05123,0.6761
Case 9,18,25,10.67,2620,1.082e+004,8693,8.793e+004,2.162e+004,0.05109,0.6768
Case 10,18,25,12,2619,1.082e+004,8531,8.893e+004,2.165e+004,0.05095,0.6775
Case 14,18,27.78,4.033,2630,1.081e+004,9512,8.277e+004,2.15e+004,0.05182,0.6735
Case 15,18,27.78,5.361,2630,1.081e+004,9347,8.379e+004,2.152e+004,0.05187,0.6733
Case 16,18,27.78,6.689,2629,1.081e+004,9183,8.481e+004,2.154e+004,0.05182,0.6736
Case 17,18,27.78,8.017,2628,1.082e+004,9019,8.581e+004,2.157e+004,0.05171,0.6741
Case 18,18,27.78,9.344,2627,1.082e+004,8856,8.682e+004,2.159e+004,0.05159,0.6747
Case 19,18,27.78,10.67,2626,1.082e+004,8694,8.782e+004,2.162e+004,0.05145,0.6754
Case 20,18,27.78,12,2625,1.082e+004,8532,8.882e+004,2.165e+004,0.0513,0.6761
Case 23,18,30.56,2.706,2636,1.081e+004,9679,8.163e+004,2.149e+004,0.05203,0.6728
Case 24,18,30.56,4.033,2636,1.081e+004,9512,8.267e+004,2.149e+004,0.05229,0.6716
Case 25,18,30.56,5.361,2635,1.081e+004,9347,8.369e+004,2.151e+004,0.05228,0.6717
Case 26,18,30.56,6.689,2634,1.081e+004,9183,8.47e+004,2.153e+004,0.0522,0.6721
Case 27,18,30.56,8.017,2633,1.081e+004,9020,8.571e+004,2.156e+004,0.05208,0.6727
Case 28,18,30.56,9.344,2632,1.081e+004,8857,8.671e+004,2.159e+004,0.05195,0.6733
Case 29,18,30.56,10.67,2631,1.082e+004,8695,8.771e+004,2.162e+004,0.05181,0.674
Case 30,18,30.56,12,2630,1.082e+004,8533,8.871e+004,2.164e+004,0.05166,0.6747
Case 33,18,33.33,2.706,2642,1.081e+004,9677,8.154e+004,2.147e+004,0.05266,0.6702
Case 34,18,33.33,4.033,2641,1.081e+004,9511,8.257e+004,2.148e+004,0.05272,0.67
Case 35,18,33.33,5.361,2640,1.081e+004,9347,8.358e+004,2.151e+004,0.05267,0.6702
Case 36,18,33.33,6.689,2639,1.081e+004,9183,8.459e+004,2.153e+004,0.05257,0.6707
Case 37,18,33.33,8.017,2638,1.081e+004,9020,8.56e+004,2.156e+004,0.05245,0.6713
Case 38,18,33.33,9.344,2637,1.081e+004,8858,8.66e+004,2.158e+004,0.05232,0.6719
Case 39,18,33.33,10.67,2636,1.081e+004,8696,8.76e+004,2.161e+004,0.05217,0.6726
Case 40,18,33.33,12,2635,1.082e+004,8534,8.86e+004,2.164e+004,0.05202,0.6734
Case 42,18,36.11,1.378,2648,1.081e+004,9843,8.04e+004,2.145e+004,0.05289,0.6695
Case 43,18,36.11,2.706,2647,1.081e+004,9676,8.145e+004,2.146e+004,0.05314,0.6684
Case 44,18,36.11,4.033,2647,1.081e+004,9511,8.247e+004,2.148e+004,0.05313,0.6684
Case 45,18,36.11,5.361,2646,1.081e+004,9347,8.348e+004,2.15e+004,0.05306,0.6688
Case 46,18,36.11,6.689,2645,1.081e+004,9184,8.449e+004,2.153e+004,0.05295,0.6693
Case 47,18,36.11,8.017,2644,1.081e+004,9021,8.549e+004,2.155e+004,0.05282,0.6699
Case 48,18,36.11,9.344,2643,1.081e+004,8859,8.649e+004,2.158e+004,0.05268,0.6706
Case 49,18,36.11,10.67,2642,1.081e+004,8697,8.749e+004,2.161e+004,0.05254,0.6713
Case 50,18,36.11,12,2640,1.081e+004,8535,8.849e+004,2.163e+004,0.05238,0.672
Case 52,18,38.89,1.378,2653,1.081e+004,9841,8.032e+004,2.143e+004,0.05352,0.667
Case 53,18,38.89,2.706,2653,1.081e+004,9675,8.135e+004,2.145e+004,0.05358,0.6667
Case 54,18,38.89,4.033,2652,1.081e+004,9511,8.236e+004,2.147e+004,0.05353,0.6669
Case 55,18,38.89,5.361,2651,1.081e+004,9347,8.337e+004,2.149e+004,0.05344,0.6674
Case 56,18,38.89,6.689,2650,1.081e+004,9184,8.438e+004,2.152e+004,0.05332,0.6679
Case 57,18,38.89,8.017,2649,1.081e+004,9022,8.538e+004,2.155e+004,0.05319,0.6685
Case 58,18,38.89,9.344,2648,1.081e+004,8859,8.638e+004,2.157e+004,0.05305,0.6692
Case 59,18,38.89,10.67,2647,1.081e+004,8698,8.738e+004,2.16e+004,0.0529,0.6699
